cohort,simulator,entry_index,exit_index,entry_time_api,exit_time_api,entry_time_actual_utc,exit_time_actual_utc,raw_episode_id,entry_price,exit_price,tp_distance,sl_distance,exit_reason,same_bar_both_hit,gross_price,spread_points,spread_observed,extra_cost_points,gross_r,net_r,stress_r,risk_mult,risk_guard_reasons,risk_budget,account_pnl,balance_before,balance_after,positive,trade_id,episode_trade_ordinal,entry_kind,score_fold,source_entry_index,candidate_id
S4_CONFIRMATION,S5,924274,924285,2020-08-17T01:12:00,2020-08-17T01:23:00,2020-08-17T01:12:00,2020-08-17T01:23:00,984,1947.12,1949.1052857142856,1.9852857142857034,2.443428571428558,take_profit,False,1.9852857142857374,30.0,True,5.0,0.7236513226411284,0.5960737346386282,0.5778483649239855,0.5,live_rolling_pf,5.7678065536552365,3.438037993110432,823.9723648078909,827.4104028010014,True,S5_000368,2,primary,1,2177625,S4_CONFIRMATION
S4_CONFIRMATION,S5,924377,924378,2020-08-17T02:55:00,2020-08-17T02:56:00,2020-08-17T02:55:00,2020-08-17T02:56:00,985,1938.2,1935.9405714285715,1.8357857142856704,2.2594285714285176,stop_loss,False,-2.2594285714285434,23.0,True,5.0,-0.9076093194077899,-1.0200849305635367,-1.040169861127063,1.0,,11.583745639214019,-11.816404366043303,827.4104028010014,815.593998434958,False,S5_000369,0,primary,1,2177728,S4_CONFIRMATION
S4_CONFIRMATION,S5,924393,924396,2020-08-17T03:11:00,2020-08-17T03:14:00,2020-08-17T03:11:00,2020-08-17T03:14:00,985,1932.6,1935.2371428571428,2.637142857142866,3.245714285714296,take_profit,False,2.6371428571428623,27.0,True,5.0,0.7501015847216571,0.6590816741162124,0.6448598130841117,0.5,live_post_loss_cap;live_rolling_pf,5.709157989044707,3.7628014052135343,815.593998434958,819.3567998401716,True,S5_000370,1,primary,1,2177744,S4_CONFIRMATION
S4_CONFIRMATION,S5,924397,924403,2020-08-17T03:15:00,2020-08-17T03:21:00,2020-08-17T03:15:00,2020-08-17T03:21:00,985,1936.58,1933.713714285714,2.3288571428571783,2.866285714285758,stop_loss,False,-2.866285714285823,50.0,True,5.0,-0.8514683415379605,-1.0148531658462252,-1.029706331692431,1.0,live_post_loss_cap,11.470995197762402,-11.64137579185602,819.3567998401716,807.7154240483155,False,S5_000371,2,primary,1,2177748,S4_CONFIRMATION
S4_CONFIRMATION,S5,924429,924431,2020-08-17T03:47:00,2020-08-17T03:49:00,2020-08-17T03:47:00,2020-08-17T03:49:00,986,1930.49,1932.0342142857144,1.544214285714317,1.9005714285714672,take_profit,False,1.5442142857143608,23.0,True,5.0,0.7247887890572836,0.5933686469089691,0.5699007643824843,0.5,live_post_loss_cap;live_rolling_pf,5.654007968338209,3.354911057785372,807.7154240483155,811.0703351061009,True,S5_000372,0,primary,1,2177780,S4_CONFIRMATION
S4_CONFIRMATION,S5,924432,924434,2020-08-17T03:50:00,2020-08-17T03:52:00,2020-08-17T03:50:00,2020-08-17T03:52:00,986,1931.85,1933.569714285714,1.7197142857142842,2.1165714285714268,take_profit,False,1.7197142857141898,26.0,True,5.0,0.7236114450588687,0.593171435441172,0.5721327242125113,0.5,live_post_loss_cap;live_rolling_pf,5.6774923457427064,3.367726284430468,811.0703351061009,814.4380613905313,True,S5_000373,1,primary,1,2177783,S4_CONFIRMATION
S4_CONFIRMATION,S5,924436,924439,2020-08-17T03:54:00,2020-08-17T03:57:00,2020-08-17T03:54:00,2020-08-17T03:57:00,987,1934.48,1936.256357142857,1.7763571428570897,2.1862857142856487,take_profit,False,1.776357142857023,23.0,True,5.0,0.7351602223010227,0.6192798864845362,0.5985869693744493,0.5,live_post_loss_cap;live_rolling_pf,5.701066429733719,3.5305557714462976,814.4380613905313,817.9686171619776,True,S5_000374,0,primary,1,2177787,S4_CONFIRMATION
S4_CONFIRMATION,S5,924441,924442,2020-08-17T03:59:00,2020-08-17T04:00:00,2020-08-17T03:59:00,2020-08-17T04:00:00,988,1937.32,1939.127,1.8069999999999824,2.2239999999999784,take_profit,False,1.8070000000000164,23.0,True,5.0,0.7363488182559219,0.6222493887530683,0.6018744906275588,0.5,live_post_loss_cap;live_rolling_pf,5.725780320133843,3.562863304337632,817.9686171619776,821.5314804663152,True,S5_000375,0,primary,1,2177792,S4_CONFIRMATION
S4_CONFIRMATION,S5,924443,924445,2020-08-17T04:01:00,2020-08-17T04:03:00,2020-08-17T04:01:00,2020-08-17T04:03:00,989,1938.77,1936.5528571428572,1.8014285714285798,2.2171428571428673,stop_loss,False,-2.2171428571427896,32.0,True,5.0,-0.8738738738738439,-1.0197072072071767,-1.0394144144143838,0.5,live_post_loss_cap;live_rolling_pf,5.7507203632642065,-5.864051001053585,821.5314804663152,815.6674294652616,False,S5_000376,0,primary,1,2177794,S4_CONFIRMATION
S4_CONFIRMATION,S5,924460,924463,2020-08-17T04:18:00,2020-08-17T04:21:00,2020-08-17T04:18:00,2020-08-17T04:21:00,990,1933.68,1935.9615000000001,2.281499999999994,2.8079999999999927,take_profit,False,2.281500000000051,36.0,True,5.0,0.7201704545454723,0.5907512626262801,0.5749684343434518,0.5,live_post_loss_cap;live_rolling_pf,5.709672006256832,3.372995946878149,815.6674294652616,819.0404254121398,True,S5_000377,0,primary,1,2177811,S4_CONFIRMATION
