candidate_id,fold,trades,wins,losses,realized_wr,average_winner_r,average_loser_r,payoff_ratio,break_even_wr,break_even_adjusted_edge,pf,mean_r,pnl_r,max_dd_r,gross_profit_r,gross_loss_r,trades_per_day,tp_first_wr,tp_count,sl_count,profitable_timeout_count,losing_timeout_count,cohort_end_count,average_hold_minutes,cost_stress_pf,cost_stress_mean_r,cost_stress_pnl_r,risk_sized_pf,primary_trade_count,secondary_trade_count,secondary_wins,secondary_losses,secondary_realized_wr,secondary_trades_per_day,primary_signal_count,secondary_signal_count,overlap_count,guardrail_failures,guardrails_pass
S2_SECONDARY_P065,2023_2024,5244,2767,2477,0.5276506483600305,0.7070942533936567,-1.0244392823629047,0.6902256342247237,0.5916369860635099,-0.06398633770347939,0.7710352563180501,-0.11079448956381907,-581.0063032726672,-585.1011308762501,1956.529799140248,2537.536102412915,7.173734610123119,0.526697177726926,2762,2473,5,4,0,9.263157894736842,0.726591221189408,-0.13552987780917533,-710.7186792313155,0.7657229870699394,41,5203,2740,2463,0.5266192581203152,7.117647058823529,1011,93253,0,[],True
S2_SECONDARY_P065,pooled,13351,6892,6459,0.5162160137817392,0.7007739928272462,-1.0212755228961616,0.6861752554687414,0.5930581632939508,-0.07684214951221158,0.7321752377598028,-0.1323259863546496,-1766.684243820927,-1768.3312862148514,4829.734358565381,6596.418602386308,5.221353148220571,0.511871769904876,6834,6407,58,52,0,9.765935135944874,0.6878589836158538,-0.158211739642417,-2112.2849359659094,0.6769633872565963,235,13116,6751,6365,0.5147148520890515,5.129448572545952,6136,243438,0,"['pf', 'mean_r', 'cost_stress_pf']",False
S3_SECONDARY_P070,2018_2020,2172,1163,1009,0.535451197053407,0.6610419400778998,-1.0198039965141639,0.6482048926435235,0.6067206840990016,-0.07126948704559455,0.747138047714983,-0.11979302770358818,-260.19045617219354,-263.1546548120555,768.7917763105975,1028.9822324827912,1.9817518248175183,0.5276243093922652,1146,1001,17,8,0,8.952117863720074,0.7031669977166823,-0.14403386398563955,-312.84155257680914,0.7261114200401968,287,1885,995,890,0.5278514588859416,1.719890510948905,4940,15793,0,[],True
S3_SECONDARY_P070,2021_2022,619,359,260,0.5799676898222941,0.6444873588037651,-1.013869031922911,0.6356712144382455,0.6113698102484733,-0.03140212042617918,0.877715253782039,-0.05207590709112307,-32.23498648940518,-37.515673677766756,231.37096181055165,263.6059482999568,0.8479452054794521,0.5799676898222941,359,257,0,3,0,7.379644588045235,0.8301494390365106,-0.07386607350839046,-45.723099501693696,0.8704751185885515,9,610,354,256,0.580327868852459,0.8356164383561644,185,7438,0,[],True
S3_SECONDARY_P070,2023_2024,2489,1369,1120,0.5500200883889113,0.6778729558595443,-1.0206946157558174,0.6641290601475193,0.6009149313884065,-0.050894842999495205,0.8117791815553159,-0.08644832988139786,-215.1698930747993,-223.4219746248391,928.0080765717162,1143.1779696465155,3.404924760601915,0.5500200883889113,1369,1118,0,2,0,6.32824427480916,0.769183016709581,-0.1082770589472572,-269.5015997197232,0.8251420876993233,39,2450,1342,1108,0.5477551020408163,3.3515731874145005,1011,27140,0,[],True
S3_SECONDARY_P070,pooled,5280,2891,2389,0.5475378787878787,0.6669563523669545,-1.019575617592827,0.6541509436461506,0.6045397512489139,-0.057001872461035163,0.7916075253583178,-0.09613548025310568,-507.595335736398,-512.9049366146336,1928.1708146928654,2435.7661504292637,2.064919827923348,0.5443181818181818,2874,2376,17,13,0,7.5308712121212125,0.7478380663397098,-0.11895194162845188,-628.066251798226,0.7467740423776162,335,4945,2691,2254,0.5441860465116279,1.9339069221744232,6136,50371,0,"['pf', 'cost_stress_pf']",False
S4_SECONDARY_P075,2018_2020,512,297,215,0.580078125,0.6320122523103929,-1.0102793106924426,0.6255817036154224,0.6151644040874236,-0.035086279087423566,0.8641756556920022,-0.05762190012243837,-29.502412862688445,-53.0369456470513,187.7076389361867,217.21005179887516,0.46715328467153283,0.56640625,290,212,7,3,0,9.93359375,0.8217250575325311,-0.07710587774174145,-39.47820940377162,0.8951179534091896,490,22,9,13,0.4090909090909091,0.020072992700729927,4940,78,0,[],True
S4_SECONDARY_P075,2021_2022,25,15,10,0.6,0.6438845299349621,-1.0197947009612267,0.6313864244715692,0.6129755556375401,-0.01297555563754016,0.947079636707354,-0.021587162423513398,-0.539679060587835,-6.092218639900166,9.658267949024433,10.197947009612268,0.03424657534246575,0.6,15,10,0,0,0,7.88,0.8987816651949884,-0.04209020325741214,-1.0522550814353036,0.9407466463807268,23,2,2,0,1.0,0.0027397260273972603,185,11,0,[],True
S4_SECONDARY_P075,2023_2024,206,109,97,0.529126213592233,0.6613815761532794,-1.014155743344678,0.6521499094133688,0.6052719515961306,-0.07614573800389757,0.7328282487222391,-0.1275850257462444,-26.282515303726342,-27.003548910603993,72.09059180070746,98.37310710443377,0.2818057455540356,0.529126213592233,109,96,0,1,0,7.572815533980583,0.6947315260407616,-0.14879460435791023,-30.651688497729506,0.7145592293958788,152,54,30,24,0.5555555555555556,0.07387140902872777,1011,161,0,[],True
S4_SECONDARY_P075,pooled,743,421,322,0.566621803499327,0.6400391892777163,-1.0117425649469605,0.632610716848974,0.6125158861691496,-0.045894082669822645,0.8271090428367022,-0.07580700838089183,-56.32460722700263,-62.009878061758215,269.4564986859186,325.78110591292125,0.2905748924520923,0.5572005383580081,414,318,7,4,0,9.209959623149395,0.7857575699558063,-0.0958037052260248,-71.18215298293643,0.8549623581604606,665,78,41,37,0.5256410256410257,0.030504497457958545,6136,250,0,[],True
