scheme,fold,decile,probability_min,probability_max,observations,realized_wr,mean_r,pf
W0_expanding,2021_2022,9,0.4984220266342163,0.55291348695755,70820,0.32434340581756566,-0.30630485400228635,0.5656248917886502
W0_expanding,2021_2022,10,0.5529147386550903,0.7495428323745728,70820,0.2980937588251906,-0.3345555359997973,0.5411748279231348
W0_expanding,2023_2024,1,0.159415140748024,0.2967371344566345,70801,0.39294642731034873,-0.19228268210799643,0.6972832963243526
W0_expanding,2023_2024,2,0.2967371940612793,0.3365168869495392,70802,0.39435326685686845,-0.18514284185326182,0.7078171859381442
W0_expanding,2023_2024,3,0.3365175426006317,0.364756315946579,70802,0.39596339086466487,-0.18897124286592368,0.700708878917546
W0_expanding,2023_2024,4,0.36475685238838196,0.38928619027137756,70802,0.3866698680828225,-0.20382509512321204,0.682144155850644
W0_expanding,2023_2024,5,0.38928624987602234,0.41190990805625916,70802,0.39004547894127284,-0.18837194462527668,0.7045126835460208
W0_expanding,2023_2024,6,0.4119108021259308,0.4344366192817688,70802,0.38857659388152876,-0.18185459766640594,0.7153982507965071
W0_expanding,2023_2024,7,0.4344366788864136,0.4582872986793518,70802,0.37796954888279993,-0.19978895811318192,0.6929218018318546
W0_expanding,2023_2024,8,0.45828840136528015,0.4880015552043915,70802,0.3833083811191774,-0.18584354916001175,0.7114364122766212
W0_expanding,2023_2024,9,0.4880015552043915,0.5351753234863281,70802,0.3671788932516031,-0.20559086576681448,0.6888183770078992
W0_expanding,2023_2024,10,0.5351756811141968,0.7482444047927856,70803,0.351383415956951,-0.2219057656014711,0.670399279862454
W0_expanding,pooled,1,0.09789866209030151,0.28921860456466675,247429,0.3704497047637908,-0.26405339214481366,0.5932617417827403
W0_expanding,pooled,2,0.2892190217971802,0.33381351828575134,247430,0.36628541405650084,-0.2526128907363515,0.6152820266019027
W0_expanding,pooled,3,0.3338135778903961,0.36730310320854187,247430,0.37537485349391747,-0.24195827635241685,0.6257276556690757
W0_expanding,pooled,4,0.36730360984802246,0.3967002034187317,247429,0.3733151732416168,-0.24722158113198783,0.6188040426325221
W0_expanding,pooled,5,0.39670035243034363,0.424878865480423,247430,0.37411793234450147,-0.2393603409655495,0.6309197413643779
W0_expanding,pooled,6,0.4248790144920349,0.45395779609680176,247430,0.3639049428121085,-0.2514420438803387,0.6190965035583975
W0_expanding,pooled,7,0.45395779609680176,0.4880295991897583,247429,0.35552421098577774,-0.259106980103365,0.6124465129572837
W0_expanding,pooled,8,0.4880296587944031,0.5330966114997864,247430,0.33978094814695065,-0.2788029116682192,0.5923435224829012
W0_expanding,pooled,9,0.5330969095230103,0.5977311730384827,247430,0.3200743644667179,-0.3095697771963323,0.555090986112168
W0_expanding,pooled,10,0.5977316498756409,0.8158532381057739,247430,0.30580366164167644,-0.33791303595559546,0.5072965669591518
W1_trailing_24m,2018_2020,1,0.04470069706439972,0.22516827285289764,105807,0.35903106599752377,-0.30364340386578453,0.530166704901862
W1_trailing_24m,2018_2020,2,0.22516858577728271,0.29567036032676697,105808,0.35009640102827766,-0.3133042020315237,0.5221667859914139
W1_trailing_24m,2018_2020,3,0.2956705391407013,0.3607017695903778,105808,0.37047293210343263,-0.284127624012526,0.5562921349031805
W1_trailing_24m,2018_2020,4,0.3607023358345032,0.4120755195617676,105808,0.362968773627703,-0.28626233961613945,0.5607679075475424
W1_trailing_24m,2018_2020,5,0.41207584738731384,0.4575086534023285,105808,0.34110842280356873,-0.3115649079907078,0.5404048264515112
W1_trailing_24m,2018_2020,6,0.45751115679740906,0.5004234910011292,105808,0.32859519128988357,-0.32146483504741946,0.5349404299070687
W1_trailing_24m,2018_2020,7,0.5004236698150635,0.5448225736618042,105808,0.3158078784212914,-0.3361428299051624,0.5197645548642164
W1_trailing_24m,2018_2020,8,0.5448230504989624,0.5959956049919128,105808,0.31732005141388175,-0.322479604991292,0.5321273673290577
W1_trailing_24m,2018_2020,9,0.5959957242012024,0.6593809127807617,105808,0.30518486314834414,-0.3421262109827098,0.5046267694656263
W1_trailing_24m,2018_2020,10,0.6593812108039856,0.8860716819763184,105809,0.3038210360177301,-0.3583860749290804,0.46442271853811545
W1_trailing_24m,2021_2022,1,0.1071251854300499,0.3115067183971405,70819,0.3745181377878818,-0.23946926493322726,0.6341509812248176
W1_trailing_24m,2021_2022,2,0.31150752305984497,0.3505419194698334,70820,0.366619598983338,-0.25702537882033216,0.6120927946394962
W1_trailing_24m,2021_2022,3,0.3505420684814453,0.3798348307609558,70820,0.3733832250776617,-0.24350530494492498,0.6285119298896649
W1_trailing_24m,2021_2022,4,0.3798355162143707,0.40593814849853516,70819,0.36922294864372557,-0.2522169271539054,0.6179112396500481
W1_trailing_24m,2021_2022,5,0.4059385061264038,0.43098369240760803,70820,0.36813047161818696,-0.24668186965177424,0.6267793270501909
W1_trailing_24m,2021_2022,6,0.43098387122154236,0.45663392543792725,70820,0.36436035018356394,-0.24624628121895029,0.629531615472746
W1_trailing_24m,2021_2022,7,0.4566347002983093,0.48498907685279846,70819,0.35280080204464903,-0.26717946184543556,0.6052966303006692
W1_trailing_24m,2021_2022,8,0.48498913645744324,0.5188616514205933,70820,0.34199378706580064,-0.27896059725299915,0.5941253631356833
W1_trailing_24m,2021_2022,9,0.5188619494438171,0.5692167282104492,70820,0.3316012425868399,-0.28942502749040067,0.5845674967642529
W1_trailing_24m,2021_2022,10,0.5692172646522522,0.8423702716827393,70820,0.30251341428974865,-0.34638134887301114,0.5181756118747755
W1_trailing_24m,2023_2024,1,0.16905349493026733,0.3352004289627075,70801,0.3875086510077541,-0.18848019341912006,0.7063454342970655
W1_trailing_24m,2023_2024,2,0.3352004289627075,0.38114774227142334,70802,0.37662777887630294,-0.21422011737185287,0.6716288777786577
W1_trailing_24m,2023_2024,3,0.38114774227142334,0.41247549653053284,70802,0.37600632750487273,-0.20117547572996458,0.6922478481762815
W1_trailing_24m,2023_2024,4,0.4124760925769806,0.44228196144104004,70802,0.3671647693567978,-0.20671160248453127,0.6884465354066436
W1_trailing_24m,2023_2024,5,0.44228312373161316,0.47264108061790466,70802,0.3745939380243496,-0.19324182952276167,0.7043648852309421
W1_trailing_24m,2023_2024,6,0.4726417362689972,0.5012450218200684,70802,0.38505974407502613,-0.190226902675546,0.7035720870953089
W1_trailing_24m,2023_2024,7,0.5012452602386475,0.5273175835609436,70802,0.3895370187282845,-0.1902696958559942,0.7009964142758032
W1_trailing_24m,2023_2024,8,0.5273181796073914,0.5536069273948669,70802,0.38371797406852914,-0.1993374047220668,0.6901548493773156
