scheme,fold,bucket_low,bucket_high,observations,predicted_mean,observed_positive_label_rate,absolute_calibration_error
W1_trailing_24m,2023_2024,0.8,0.9,5,0.8045348763465882,0.6,0.20453487634658818
W1_trailing_24m,2023_2024,0.9,1.0,0,,,
W1_trailing_24m,pooled,0.0,0.1,3356,0.08533969163757009,0.11501787842669844,0.029678186789128355
W1_trailing_24m,pooled,0.1,0.2,71095,0.16356929576715945,0.14152894015050285,0.0220403556166566
W1_trailing_24m,pooled,0.2,0.30000000000000004,235183,0.2574812612637003,0.13236500937567766,0.12511625188802264
W1_trailing_24m,pooled,0.30000000000000004,0.4,536677,0.35614656595253413,0.11972378171600423,0.2364227842365299
W1_trailing_24m,pooled,0.4,0.5,738381,0.4497068582328957,0.15085978647879617,0.2988470717540995
W1_trailing_24m,pooled,0.5,0.6000000000000001,587018,0.5448932995375316,0.1904864927480929,0.3544068067894387
W1_trailing_24m,pooled,0.6000000000000001,0.7000000000000001,234971,0.6409428283602574,0.23775274395563709,0.40319008440462034
W1_trailing_24m,pooled,0.7000000000000001,0.8,63858,0.7363511832226954,0.2827836762817501,0.45356750694094533
W1_trailing_24m,pooled,0.8,0.9,3758,0.817868119893777,0.33874401277275146,0.4791241071210255
W1_trailing_24m,pooled,0.9,1.0,0,,,
W2_trailing_18m,2018_2020,0.0,0.1,5490,0.08622608328194023,0.1453551912568306,0.05912910797489038
W2_trailing_18m,2018_2020,0.1,0.2,88494,0.16146387091560638,0.16597735439690828,0.0045134834813019
W2_trailing_18m,2018_2020,0.2,0.30000000000000004,150352,0.24935041760467408,0.16015084601468554,0.08919957158998854
W2_trailing_18m,2018_2020,0.30000000000000004,0.4,192505,0.35294652320075937,0.14852601231136853,0.20442051088939084
W2_trailing_18m,2018_2020,0.4,0.5,232786,0.45051560196690593,0.17601144398718135,0.2745041579797246
W2_trailing_18m,2018_2020,0.5,0.6000000000000001,202997,0.5476033195015012,0.22316585959398413,0.32443745990751705
W2_trailing_18m,2018_2020,0.6000000000000001,0.7000000000000001,132412,0.6452028665003905,0.2560795094100233,0.3891233570903672
W2_trailing_18m,2018_2020,0.7000000000000001,0.8,49885,0.7369863309386595,0.3071263906986068,0.4298599402400527
W2_trailing_18m,2018_2020,0.8,0.9,3159,0.8219158568877365,0.36435580880025326,0.45756004808748324
W2_trailing_18m,2018_2020,0.9,1.0,0,,,
W2_trailing_18m,2021_2022,0.0,0.1,13,0.09483105116165601,0.0,0.09483105116165601
W2_trailing_18m,2021_2022,0.1,0.2,2044,0.17619979846311293,0.12915851272015655,0.04704128574295638
W2_trailing_18m,2021_2022,0.2,0.30000000000000004,26784,0.26569386418595053,0.09330197132616487,0.17239189285978568
W2_trailing_18m,2021_2022,0.30000000000000004,0.4,137326,0.3605838208362405,0.10229672458238061,0.2582870962538599
W2_trailing_18m,2021_2022,0.4,0.5,281610,0.4514288458256579,0.13285039593764425,0.31857844988801365
W2_trailing_18m,2021_2022,0.5,0.6000000000000001,193848,0.5426351774222099,0.16129132103503777,0.38134385638717216
W2_trailing_18m,2021_2022,0.6000000000000001,0.7000000000000001,56398,0.6383662474724439,0.17502393701904323,0.46334231045340063
W2_trailing_18m,2021_2022,0.7000000000000001,0.8,9552,0.7328589639721603,0.18059045226130654,0.5522685117108538
W2_trailing_18m,2021_2022,0.8,0.9,620,0.8224139475053357,0.14193548387096774,0.6804784636343679
W2_trailing_18m,2021_2022,0.9,1.0,2,0.9056329429149628,0.0,0.9056329429149628
W2_trailing_18m,2023_2024,0.0,0.1,0,,,
W2_trailing_18m,2023_2024,0.1,0.2,960,0.1901235425689568,0.040625,0.1494985425689568
W2_trailing_18m,2023_2024,0.2,0.30000000000000004,58604,0.2663304099028558,0.07286192068800765,0.19346848921484813
