scheme,fold,bucket_low,bucket_high,observations,independent_episodes,executable_trades,realized_wr,mean_r,pf,average_realized_r
W2_trailing_18m,2018_2020,0.55,0.6,94269,19473,3738,0.3172819689673622,-0.32111989665694385,0.5379065332815903,-0.32111989665694385
W2_trailing_18m,2021_2022,0.55,0.6,75374,18829,3923,0.36171297476421105,-0.25636590438150625,0.6140258898969371,-0.25636590438150625
W2_trailing_18m,2023_2024,0.55,0.6,83185,17573,4713,0.41183959261616804,-0.1776993608056434,0.7095115787988735,-0.1776993608056434
W2_trailing_18m,pooled,0.55,0.6,252828,55875,12374,0.3673832228866979,-0.2459646600993456,0.6236175672128612,-0.2459646600993456
W2_trailing_18m,2018_2020,0.6,0.65,75920,15143,2747,0.32872224244630505,-0.290649180204465,0.5681232527532529,-0.290649180204465
W2_trailing_18m,2021_2022,0.6,0.65,37997,10204,2182,0.3290559120073327,-0.3267628569679655,0.5337683646535557,-0.3267628569679655
W2_trailing_18m,2023_2024,0.6,0.65,35273,8221,2300,0.4117391304347826,-0.16918171042738886,0.7238111720776645,-0.16918171042738886
W2_trailing_18m,pooled,0.6,0.65,149190,33568,7229,0.35523585558168486,-0.2629032765124859,0.6029702916140427,-0.2629032765124859
W2_trailing_18m,2018_2020,0.65,0.7,56492,10662,1846,0.31581798483206935,-0.3230494920800199,0.5232320259777055,-0.3230494920800199
W2_trailing_18m,2021_2022,0.65,0.7,18401,4924,1055,0.3042654028436019,-0.34134204547012836,0.5216787837894122,-0.34134204547012836
W2_trailing_18m,2023_2024,0.65,0.7,11033,2648,718,0.41643454038997213,-0.1598817936156712,0.734453439061644,-0.1598817936156712
W2_trailing_18m,pooled,0.65,0.7,85926,18234,3619,0.33241226858248135,-0.29601004370454653,0.5602359327749062,-0.29601004370454653
W2_trailing_18m,2018_2020,0.7,0.75,34595,6363,1092,0.3086080586080586,-0.348512587059595,0.487553991932471,-0.348512587059595
W2_trailing_18m,2021_2022,0.7,0.75,7178,2022,488,0.3073770491803279,-0.3428304995463871,0.5180238042787374,-0.3428304995463871
W2_trailing_18m,2023_2024,0.7,0.75,3131,798,204,0.45588235294117646,-0.03797022026178506,0.9321530090192027,-0.03797022026178506
W2_trailing_18m,pooled,0.7,0.75,44904,9183,1784,0.3251121076233184,-0.31144784404771225,0.5384991536146981,-0.31144784404771225
W2_trailing_18m,2018_2020,0.75,0.8,15290,2761,469,0.2921108742004264,-0.3899108877708983,0.42630118884815454,-0.3899108877708983
W2_trailing_18m,2021_2022,0.75,0.8,2374,647,166,0.29518072289156627,-0.3858548925546884,0.47083485564829064,-0.3858548925546884
W2_trailing_18m,2023_2024,0.75,0.8,690,185,58,0.43103448275862066,-0.047687214015815924,0.9179805683756154,-0.047687214015815924
W2_trailing_18m,pooled,0.75,0.8,18354,3593,693,0.30447330447330445,-0.36029722502387723,0.4727004730349825,-0.36029722502387723
W2_trailing_18m,2018_2020,0.8,0.85,2817,685,138,0.3188405797101449,-0.30995676940951133,0.5009664848988098,-0.30995676940951133
W2_trailing_18m,2021_2022,0.8,0.85,556,148,29,0.3793103448275862,-0.07334542126066496,0.8885262523492105,-0.07334542126066496
W2_trailing_18m,2023_2024,0.8,0.85,68,15,5,0.4,0.15292864823502877,1.2861923273428992,0.15292864823502877
W2_trailing_18m,pooled,0.8,0.85,3441,848,172,0.3313953488372093,-0.2566070241505622,0.589300438349557,-0.2566070241505622
W2_trailing_18m,2018_2020,0.85,0.9,342,87,14,0.35714285714285715,-0.3018229449351845,0.5367250958258594,-0.3018229449351845
W2_trailing_18m,2021_2022,0.85,0.9,64,23,7,0.14285714285714285,-0.7058823529411764,0.22222222222222224,-0.7058823529411764
W2_trailing_18m,2023_2024,0.85,0.9,0,0,0,0.0,0.0,0.0,0.0
W2_trailing_18m,pooled,0.85,0.9,406,110,21,0.2857142857142857,-0.4365094142705151,0.40760344611885446,-0.4365094142705151
W2_trailing_18m,2018_2020,0.9,1.0,0,0,0,0.0,0.0,0.0,0.0
W2_trailing_18m,2021_2022,0.9,1.0,2,2,1,0.0,-1.0588235294117647,0.0,-1.0588235294117647
W2_trailing_18m,2023_2024,0.9,1.0,0,0,0,0.0,0.0,0.0,0.0
W2_trailing_18m,pooled,0.9,1.0,2,2,1,0.0,-1.0588235294117647,0.0,-1.0588235294117647
W3_trailing_12m,2018_2020,0.5,0.55,128794,28262,5806,0.3615225628660007,-0.2743344457829256,0.5810676807033749,-0.2743344457829256
W3_trailing_12m,2021_2022,0.5,0.55,131468,35359,6751,0.3691304991853059,-0.2472277218025926,0.6238117207797793,-0.2472277218025926
W3_trailing_12m,2023_2024,0.5,0.55,113511,28666,6501,0.4099369327795724,-0.18495926235245888,0.6989234672522368,-0.18495926235245888
W3_trailing_12m,pooled,0.5,0.55,373773,92287,19058,0.38073250078707105,-0.23424495260039369,0.6350493015270676,-0.23424495260039369
W3_trailing_12m,2018_2020,0.55,0.6,112147,23437,4702,0.35048915355168014,-0.28126186499748523,0.5759173317047032,-0.28126186499748523
W3_trailing_12m,2021_2022,0.55,0.6,89841,24576,5236,0.37261268143621085,-0.24960041403271324,0.6186672533635366,-0.24960041403271324
W3_trailing_12m,2023_2024,0.55,0.6,68931,18745,4473,0.4182875027945451,-0.17213813979872394,0.7160078068590429,-0.17213813979872394
W3_trailing_12m,pooled,0.55,0.6,270919,66758,14411,0.3795711609187426,-0.23588751345591247,0.6327755666669881,-0.23588751345591247
W3_trailing_12m,2018_2020,0.6,0.65,79021,15826,3192,0.3543233082706767,-0.2736497657892467,0.5816909781416089,-0.2736497657892467
W3_trailing_12m,2021_2022,0.6,0.65,49372,13757,3146,0.36904005085823266,-0.253932168982264,0.6142628997353689,-0.253932168982264
