candidate_id,parameters,fold,threshold,rsi_policy,raw_qualifying_rows,independent_signal_episodes,eligible_signal_episodes,executable_trades,trades_per_day,robust_trades_per_day,frequency_uplift,wins,losses,tp_first_wr,realized_wr,average_winner_r,average_loser_r,payoff_ratio,break_even_wr,break_even_adjusted_edge,pf,mean_r,pnl,max_dd,tp_count,sl_count,timeout_count,observed_spread_trades,fallback_spread_trades,nominal_cost_result,cost_stress_pf,cost_stress_mean_r,cost_stress_pnl,cost_stress_result,qualification_verdict
T1_R3,"{""threshold"":0.72,""rsi_policy"":""exclude 40–45""}",pooled,0.72,R3,21481,2220,1334,548,0.21431364880719594,0.00684931506849315,1.8994708994708995,163,385,0.18065693430656934,0.29744525547445255,1.0365596553386722,-0.9754242526085289,1.0626757050244053,0.4848071839718343,-0.18736192849738176,0.44991205173760546,-0.3769691850986862,-206.57911343408006,-211.44861436742715,99,339,110,317,231,FAIL,0.40123395800868306,-0.43478391887907347,-238.26158754573225,FAIL,"QUALITY_FAIL:PF<=1;Mean-R<=0;PnL<=0;BE-edge<=0;WR<60%;PF<=1.05;stress-PF<=1;catastrophic-fold=2018_2020,2021_2022,2023_2024"
T2_R0,"{""threshold"":0.7,""rsi_policy"":""exclude 35–45""}",2018_2020,0.7,R0,39402,3564,1878,774,0.7062043795620438,0.049315068493150684,3.095238095238096,235,539,0.21059431524547803,0.30361757105943155,1.089168669247276,-0.9784803552952699,1.1131226736980369,0.4732332923435846,-0.16961572128415303,0.48531322508170444,-0.3507057806602591,-271.44627423104055,-271.4462742310405,163,478,133,457,317,FAIL,0.4341123997690671,-0.40848456772819075,-316.16705542161964,FAIL,CATASTROPHIC
T2_R0,"{""threshold"":0.7,""rsi_policy"":""exclude 35–45""}",2021_2022,0.7,R0,311,112,72,36,0.049315068493150684,0.049315068493150684,,7,29,0.19444444444444445,0.19444444444444445,1.4605383820194737,-1.0404378963803993,1.4037727644298335,0.4160127008665882,-0.22156825642214376,0.3388417017589253,-0.5541369533582021,-19.948930320895276,-22.237329013705725,7,28,1,36,0,FAIL,0.3073961499980649,-0.6144224788645927,-22.119209239125336,FAIL,CATASTROPHIC
T2_R0,"{""threshold"":0.7,""rsi_policy"":""exclude 35–45""}",2023_2024,0.7,R0,632,117,88,40,0.05471956224350205,0.049315068493150684,,16,24,0.325,0.4,1.4796201324951928,-1.0458754370024177,1.4147192678469724,0.41412681520184597,-0.014126815201845944,0.9431461785646484,-0.03567720920337358,-1.4270883681349433,-8.120305619808452,13,23,4,40,0,FAIL,0.8520381559547907,-0.09847208392715044,-3.938883357086018,FAIL,CATASTROPHIC
T2_R0,"{""threshold"":0.7,""rsi_policy"":""exclude 35–45""}",pooled,0.7,R0,40345,3793,2038,850,0.33242080563159954,0.049315068493150684,3.4973544973544977,258,592,0.21529411764705883,0.3035294117647059,1.1234586359192609,-0.9842476705865543,1.141438958397275,0.4669757202644868,-0.16344630849978092,0.49745143795016383,-0.3444968152000833,-292.8222929200708,-295.49063234963234,183,529,138,533,317,FAIL,0.44558024861643547,-0.4026178211974482,-342.225148017831,FAIL,"QUALITY_FAIL:PF<=1;Mean-R<=0;PnL<=0;BE-edge<=0;WR<60%;PF<=1.05;stress-PF<=1;catastrophic-fold=2018_2020,2021_2022,2023_2024"
T2_R1,"{""threshold"":0.7,""rsi_policy"":""no 35–45 exclusion""}",2018_2020,0.7,R1,39402,3564,2391,851,0.7764598540145985,0.06155950752393981,3.5026455026455023,260,591,0.21269095182138661,0.30552291421856637,1.1020341949972177,-0.9797826360728799,1.124774163598511,0.4706382528232568,-0.1651153386046904,0.49482450513640075,-0.34373989097508284,-292.5226472197955,-292.5226472197948,181,522,148,493,358,FAIL,0.4429425580131111,-0.40143783135552924,-341.6235944835554,FAIL,CATASTROPHIC
T2_R1,"{""threshold"":0.7,""rsi_policy"":""no 35–45 exclusion""}",2021_2022,0.7,R1,311,112,99,45,0.06164383561643835,0.06155950752393981,,11,34,0.24444444444444444,0.24444444444444444,1.5615636406077575,-1.028170151491355,1.5187793949695176,0.39701769912727986,-0.15257325468283542,0.4913698042548439,-0.3951241134226832,-17.780585104020744,-24.36616516938022,11,32,2,45,0,FAIL,0.4457464343805073,-0.4560167577665294,-20.52075409949382,FAIL,CATASTROPHIC
T2_R1,"{""threshold"":0.7,""rsi_policy"":""no 35–45 exclusion""}",2023_2024,0.7,R1,632,117,114,45,0.06155950752393981,0.06155950752393981,,17,28,0.3111111111111111,0.37777777777777777,1.2905968687457867,-1.0482556713049882,1.2311852003997312,0.448192288036351,-0.07041451025857326,0.747505300242694,-0.16468915617469532,-7.41101202786129,-10.29614501349705,14,27,4,45,0,FAIL,0.6748871938813249,-0.22484250071774747,-10.117912532298636,FAIL,CATASTROPHIC
T2_R1,"{""threshold"":0.7,""rsi_policy"":""no 35–45 exclusion""}",pooled,0.7,R1,40345,3793,2604,941,0.36800938599921784,0.06155950752393981,3.9788359788359786,288,653,0.21891604675876727,0.30605738575983,1.1307161024813897,-0.9852381039300425,1.1476577062651618,0.46562354749678836,-0.15956616173695837,0.5061645013849412,-0.3376346911282439,-317.7142443516775,-319.1485596871078,206,581,154,583,358,FAIL,0.4536882406832164,-0.39560282796530055,-372.2622611153478,FAIL,"QUALITY_FAIL:PF<=1;Mean-R<=0;PnL<=0;BE-edge<=0;WR<60%;PF<=1.05;stress-PF<=1;catastrophic-fold=2018_2020,2021_2022,2023_2024"
T2_R2,"{""threshold"":0.7,""rsi_policy"":""exclude 38–42""}",2018_2020,0.7,R2,39402,3564,2194,823,0.7509124087591241,0.056164383561643834,3.3544973544973544,253,570,0.212636695018226,0.30741190765492105,1.0947198671152512,-0.9814654631050235,1.1153931628443952,0.47272536262497056,-0.1653134549700495,0.4950780178940911,-0.34322137009684683,-282.4711875897049,-283.0899861220652,175,505,143,480,343,FAIL,0.4430703051569819,-0.4009461805427259,-329.9787065866634,FAIL,CATASTROPHIC
