candidate_id,fold,trades,wins,losses,realized_wr,average_winner_r,average_loser_r,payoff_ratio,break_even_wr,break_even_adjusted_edge,pf,mean_r,pnl_r,max_dd_r,gross_profit_r,gross_loss_r,trades_per_day,tp_first_wr,tp_count,sl_count,profitable_timeout_count,losing_timeout_count,cohort_end_count,average_hold_minutes,cost_stress_pf,cost_stress_mean_r,cost_stress_pnl_r,risk_sized_pf,anchor_trade_count,secondary_trade_count,secondary_wins,secondary_losses,secondary_realized_wr,secondary_trades_per_day
E4_10M_F072,pooled,882,475,407,0.5385487528344671,0.6383150528789763,-1.012223235173575,0.630606995273645,0.6132685575975848,-0.07471980476311768,0.7359663949753843,-0.12332789863733704,-108.77520659813126,-113.36170423174268,303.1996501175137,411.974856715645,0.3449354712553774,0.5272108843537415,465,402,10,5,0,9.653061224489797,0.6991055328141235,-0.14335634867691693,-126.44029953304073,0.7292724584543803,584,298,142,156,0.47651006711409394,0.11654282362143137
C1_5M_F070_DECAY002,2018_2020,539,305,234,0.5658627087198516,0.6335702869949029,-1.0108239910200576,0.6267859613774551,0.6147090174993064,-0.04884630877945484,0.8169646077783069,-0.0803225906590874,-43.2938763652481,-61.662788633130006,193.23893753344538,236.53281389869346,0.49178832116788324,0.5547309833024119,299,231,6,3,0,9.955473098330241,0.7767038405901976,-0.09987890886178123,-53.834731876500086,0.817145406515685,467,72,33,39,0.4583333333333333,0.06569343065693431
C1_5M_F070_DECAY002,2021_2022,29,17,12,0.5862068965517241,0.6413745150934167,-1.0195696422447962,0.6290639584769279,0.6138494408377538,-0.027642544286029747,0.891173941175648,-0.04591272242584381,-1.3314689503494703,-6.548282280808486,10.903366756588085,12.234835706937554,0.03972602739726028,0.5862068965517241,17,12,0,0,0,9.344827586206897,0.8452039020563721,-0.06656056818990021,-1.9302564775071058,0.8169019347968778,23,6,3,3,0.5,0.00821917808219178
C1_5M_F070_DECAY002,2023_2024,194,98,96,0.5051546391752577,0.6568558533367954,-1.0148870267456809,0.6472206620307859,0.607083205699438,-0.10192856652418025,0.6607044258230939,-0.1703983553638115,-33.05728094057943,-33.05728094057942,64.37187362700595,97.42915456758537,0.265389876880985,0.5051546391752577,98,95,0,1,0,7.618556701030927,0.6256869893819907,-0.1920207415375761,-37.25202385828976,0.6607911828411885,142,52,25,27,0.4807692307692308,0.07113543091655267
C1_5M_F070_DECAY002,pooled,762,420,342,0.5511811023622047,0.6393194712310463,-1.0122713572316269,0.6315692592344662,0.6129068651791104,-0.06172576281690567,0.7756113709896953,-0.10194570374826378,-77.682626256177,-84.94616846480012,268.51417791703943,346.1968041732164,0.2980054751662104,0.5433070866141733,414,338,6,4,0,9.337270341207349,0.7365568300200054,-0.1220695698324107,-93.01701221229695,0.786790060370806,632,130,61,69,0.46923076923076923,0.050840829096597574
C2_5M_F072_DECAY002,2018_2020,539,305,234,0.5658627087198516,0.6335702869949029,-1.0108239910200576,0.6267859613774551,0.6147090174993064,-0.04884630877945484,0.8169646077783069,-0.0803225906590874,-43.2938763652481,-61.662788633130006,193.23893753344538,236.53281389869346,0.49178832116788324,0.5547309833024119,299,231,6,3,0,9.955473098330241,0.7767038405901976,-0.09987890886178123,-53.834731876500086,0.817145406515685,467,72,33,39,0.4583333333333333,0.06569343065693431
C2_5M_F072_DECAY002,2021_2022,29,17,12,0.5862068965517241,0.6413745150934167,-1.0195696422447962,0.6290639584769279,0.6138494408377538,-0.027642544286029747,0.891173941175648,-0.04591272242584381,-1.3314689503494703,-6.548282280808486,10.903366756588085,12.234835706937554,0.03972602739726028,0.5862068965517241,17,12,0,0,0,9.344827586206897,0.8452039020563721,-0.06656056818990021,-1.9302564775071058,0.8169019347968778,23,6,3,3,0.5,0.00821917808219178
C2_5M_F072_DECAY002,2023_2024,194,98,96,0.5051546391752577,0.6568558533367954,-1.0148870267456809,0.6472206620307859,0.607083205699438,-0.10192856652418025,0.6607044258230939,-0.1703983553638115,-33.05728094057943,-33.05728094057942,64.37187362700595,97.42915456758537,0.265389876880985,0.5051546391752577,98,95,0,1,0,7.618556701030927,0.6256869893819907,-0.1920207415375761,-37.25202385828976,0.6607911828411885,142,52,25,27,0.4807692307692308,0.07113543091655267
C2_5M_F072_DECAY002,pooled,762,420,342,0.5511811023622047,0.6393194712310463,-1.0122713572316269,0.6315692592344662,0.6129068651791104,-0.06172576281690567,0.7756113709896953,-0.10194570374826378,-77.682626256177,-84.94616846480012,268.51417791703943,346.1968041732164,0.2980054751662104,0.5433070866141733,414,338,6,4,0,9.337270341207349,0.7365568300200054,-0.1220695698324107,-93.01701221229695,0.786790060370806,632,130,61,69,0.46923076923076923,0.050840829096597574
C3_10M_F070_DECAY002,2018_2020,564,320,244,0.5673758865248227,0.6343212811053534,-1.01143868101713,0.6271475404395872,0.6145724190013168,-0.047196532476494024,0.822488577625688,-0.07767416350082747,-43.808228214466695,-61.95814781903262,202.98280995371306,246.79103816817974,0.5145985401459854,0.5567375886524822,314,241,6,3,0,9.875886524822695,0.7818899824363936,-0.09730166960471165,-54.87814165705737,0.795546070542719,459,105,51,54,0.4857142857142857,0.09580291970802919
