candidate_id,fold,trades,wins,losses,realized_wr,average_winner_r,average_loser_r,payoff_ratio,break_even_wr,break_even_adjusted_edge,pf,mean_r,pnl_r,max_dd_r,gross_profit_r,gross_loss_r,trades_per_day,tp_first_wr,tp_count,sl_count,profitable_timeout_count,losing_timeout_count,cohort_end_count,average_hold_minutes,cost_stress_pf,cost_stress_mean_r,cost_stress_pnl_r,risk_sized_pf
A2_SESSION_P97,2018_2020,4136,1655,2481,0.4001450676982592,0.9023858712471521,-1.0027357101356755,0.8999239402026028,0.5263368595131038,-0.12619179181484463,0.6003120197643319,-0.24041070597982928,-994.3386799325739,-998.8696526680899,1493.4486169140366,2487.787296846611,3.7737226277372264,0.3571083172147002,1477,2316,178,165,0,31.106382978723403,0.5485295500217845,-0.2841849287072054,-1175.3888651330017,0.5063998290376822
A2_SESSION_P97,2021_2022,2564,1152,1412,0.44929797191887677,0.9228694386860293,-1.0290499871133285,0.8968169187532329,0.527199009094296,-0.07790103717541919,0.7316806589261504,-0.15205654775261854,-389.87298843771396,-399.7801562843667,1063.1455933663058,1453.0185818040197,3.5123287671232877,0.43798751950078,1123,1382,29,30,0,21.663026521060843,0.6759187106629245,-0.1909685615117523,-489.64339171613284,0.7206151059053972
A2_SESSION_P97,2023_2024,3486,1582,1904,0.4538152610441767,0.8905370124123243,-1.035326494099464,0.860150896830783,0.5375907952971675,-0.08377553425299078,0.714684201043224,-0.16134024415636317,-562.432091129082,-570.9391904362258,1408.829553636297,1971.2616447653795,4.768809849521204,0.4434882386689616,1546,1872,36,32,0,25.006884681583475,0.6635136490631799,-0.19732355839795443,-687.8699245752691,0.7296277332168277
A2_SESSION_P97,pooled,10186,4389,5797,0.43088552915766737,0.9034914021227248,-1.0198494951554267,0.8859066032925097,0.53024895201817,-0.09936342286050265,0.6707338419615015,-0.19110973488114766,-1946.64375949937,-1947.8575412040768,3965.4237639166395,5912.067523416009,3.9835745013687918,0.40702925584135086,4146,5570,243,227,0,26.64186137836246,0.6179489551816684,-0.23099373467743994,-2352.9021814244034,0.50663364702252
A3_3D_F065_P95,2018_2020,2357,1200,1157,0.5091217649554518,0.7018447095516012,-1.005309354988521,0.698138046829988,0.5888802749969342,-0.07975851004148238,0.7240844046637731,-0.13616006459898078,-320.9292722597977,-322.00083344227585,842.2136514619214,1163.142923721719,2.1505474452554743,0.49257530759439966,1161,1117,39,40,0,13.692829868476878,0.6769454132816511,-0.16404961993942146,-386.6649541972164,0.6919363852222382
A3_3D_F065_P95,2021_2022,1686,939,747,0.5569395017793595,0.6636429135110888,-1.0207089465645944,0.6501784036915864,0.6059950837818001,-0.049055582002440645,0.8172925315480586,-0.08262686079290602,-139.30888729683954,-158.04049409155832,623.1606957869125,762.469583083752,2.3095890410958906,0.5563463819691578,938,744,1,3,0,7.668446026097271,0.7707510211157639,-0.10604690796774262,-178.79508683361405,0.7884779115903987
A3_3D_F065_P95,2023_2024,2746,1489,1257,0.5422432629278952,0.6952212067486232,-1.0227738798288857,0.6797408698635681,0.5953299213831845,-0.05308665845528937,0.8051982141820627,-0.09120261838900565,-250.44239009620952,-258.572151588265,1035.1843768487,1285.6267669449094,3.756497948016416,0.5418790968681719,1488,1255,1,2,0,7.599781500364166,0.7603869745938103,-0.11477545272971156,-315.1733931957879,0.8137281267574904
A3_3D_F065_P95,pooled,6789,3628,3161,0.5343938724407129,0.689238898593587,-1.0158934747707626,0.6784558772258228,0.5957856942017535,-0.06139182176104063,0.7786896306786729,-0.10468118274456427,-710.6805496528468,-712.9527024978028,2500.5587240975337,3211.2392737503806,2.6550645287446226,0.5283546914125792,3587,3116,41,45,0,9.732213875386655,0.7325061083504923,-0.1297147494810161,-880.6334342266184,0.7045212076128486
A3_3D_F065_P97,2018_2020,1723,880,843,0.5107370864770748,0.690665391687965,-0.9977047315756601,0.6922543011269552,0.5909277342855923,-0.08019064780851748,0.7226379418644373,-0.13539149392505645,-233.27954403287228,-238.07130018808223,607.7855446854093,841.0650887182815,1.572080291970803,0.4881021474172954,841,803,39,40,0,15.52466627974463,0.6749270562417178,-0.16344223154708706,-281.610964955631,0.6825857997399598
A3_3D_F065_P97,2021_2022,1270,711,559,0.5598425196850394,0.6594943143854501,-1.0204519521707414,0.6462766943436686,0.6074313044920291,-0.04758878480698969,0.822008460963056,-0.07994660136644839,-101.53218373538945,-117.59441069994854,468.90045752805503,570.4326412634445,1.7397260273972603,0.5590551181102362,710,557,1,2,0,7.2622047244094485,0.7756180861352935,-0.10308807766901133,-130.9218586396444,0.8040064784281078
A3_3D_F065_P97,2023_2024,2081,1098,983,0.5276309466602594,0.6899568805109364,-1.0226884186984018,0.6746501357559713,0.5971396524257166,-0.0695087057654572,0.7535766521465479,-0.11904375818333529,-247.73006077952073,-253.0999301377095,757.5726548010082,1005.3027155805289,2.846785225718194,0.5266698702546853,1096,982,2,1,0,6.41902931283037,0.712155168651082,-0.1422218886884153,-295.9637503605922,0.7540726130994552
A3_3D_F065_P97,pooled,5074,2689,2385,0.5299566417027985,0.6821341230994691,-1.013333520151889,0.6731585500075273,0.5976719898992843,-0.06771534819648573,0.7589615685409817,-0.1148091818186406,-582.5417885477824,-583.1398277634702,1834.2586570144724,2416.800445562255,1.9843566679702778,0.5216791486007095,2647,2342,42,43,0,9.722112731572723,0.7140835327763175,-0.13963275008984385,-708.4965739558677,0.7060908025013078
A3_3D_F070_P95,2018_2020,1667,890,777,0.5338932213557288,0.6615448531532611,-1.0121935743305686,0.6535754325359998,0.6047501555259283,-0.07085693417019945,0.7486256563153667,-0.11859597357435478,-197.69948794844942,-198.5974923804527,588.7749193064024,786.4744072548517,1.520985401459854,0.5242951409718056,874,763,16,14,0,10.378524295140972,0.7049469465195718,-0.1425584203816507,-237.6448867762117,0.714105506364438
A3_3D_F070_P95,2021_2022,621,353,268,0.5684380032206119,0.6437915480030827,-1.0178577391405985,0.6324965889109918,0.6125587071928166,-0.04412070397220469,0.8331018503193287,-0.07331313630369114,-45.5274576445922,-46.02639811118718,227.2584164450882,272.7858740896804,0.8506849315068493,0.5684380032206119,353,266,0,2,0,7.209339774557166,0.787635244084511,-0.09528440217332691,-59.17161374963601,0.8127017144273117
A3_3D_F070_P95,2023_2024,2034,1102,932,0.5417895771878073,0.6782664382803716,-1.0215579859251995,0.6639529499307694,0.6009785312989806,-0.05918895411117331,0.7850602476649224,-0.10061082984135523,-204.64242789731654,-212.40608711049802,747.4496149849695,952.092042882286,2.782489740082079,0.5417895771878073,1102,931,0,1,0,6.243362831858407,0.7433286402944222,-0.12275611169846294,-249.68593119467363,0.780510480234788
