model_id,fold,decile,observations,mean_probability,realized_wr,pf,mean_r,pnl_r
B1_technical_plus_macro,2021_2022,2,70820,0.3875521986081721,0.2949308105055069,0.563329772720919,-0.3240219896375981,-22947.2373061347
B1_technical_plus_macro,2021_2022,3,70820,0.40969901759428884,0.29229031347077095,0.5617158465488294,-0.3252828183794623,-23036.52919763352
B1_technical_plus_macro,2021_2022,4,70819,0.42817829805657426,0.2936923706914811,0.561768039823155,-0.3235458216202718,-22913.19154132603
B1_technical_plus_macro,2021_2022,5,70820,0.44742786697717213,0.3070177915842982,0.58534575411388,-0.30084406406478564,-21305.77661706812
B1_technical_plus_macro,2021_2022,6,70820,0.47165461689427357,0.32869245975713074,0.6000765502580085,-0.28063757112791865,-19874.752787279198
B1_technical_plus_macro,2021_2022,7,70819,0.504785745999745,0.35919739053078975,0.6223352228257583,-0.2522697800519596,-17865.493553499728
B1_technical_plus_macro,2021_2022,8,70820,0.5439690428470629,0.40580344535441965,0.6729086976905734,-0.2019929698456357,-14305.14212446792
B1_technical_plus_macro,2021_2022,9,70820,0.6007484985109912,0.45960180739903983,0.690443048175403,-0.17266691314420632,-12228.27078887269
B1_technical_plus_macro,2021_2022,10,70819,0.6678940840040756,0.5370592637569014,0.7692850507755615,-0.1092128857486593,-7734.347355834303
B1_technical_plus_macro,2023_2024,1,70802,0.3610706348142103,0.2919267817293297,0.5724929747661107,-0.3100946148967003,-21955.318923916177
B1_technical_plus_macro,2023_2024,2,70802,0.40704695492909626,0.3052738623202734,0.6420436337860668,-0.2602141566825336,-18423.682721436744
B1_technical_plus_macro,2023_2024,3,70802,0.43083477875961834,0.3090731900228807,0.6581022986675495,-0.2492423088068238,-17646.85394814074
B1_technical_plus_macro,2023_2024,4,70802,0.45100395544264393,0.32141747408265303,0.6746359123044353,-0.23393603408394742,-16563.139085211646
B1_technical_plus_macro,2023_2024,5,70802,0.4737099168523786,0.3381684133216576,0.6911272038344083,-0.2154049088883896,-15251.09835911576
B1_technical_plus_macro,2023_2024,6,70802,0.5036353462922034,0.36587949492952176,0.7047241802349463,-0.19643923291477727,-13908.29056883206
B1_technical_plus_macro,2023_2024,7,70802,0.543475939439975,0.4063585774413152,0.7283721956789773,-0.1691772144882449,-11978.085140196716
B1_technical_plus_macro,2023_2024,8,70802,0.5823060538515472,0.4386881726504901,0.7295325123139492,-0.15808265352162265,-11192.568034637927
B1_technical_plus_macro,2023_2024,9,70802,0.6368732430933829,0.5009039292675348,0.7698808441667349,-0.11824868960496412,-8372.24372141067
B1_technical_plus_macro,2023_2024,10,70802,0.6963309756482289,0.5388407107143866,0.7871745483190123,-0.10019190883217481,-7093.787529135641
B1_technical_plus_macro,pooled,1,247430,0.34179375817928404,0.27974376591359174,0.49839739342124617,-0.3630423477459464,-89827.56810277952
B1_technical_plus_macro,pooled,2,247430,0.40661502630295393,0.29537647011275914,0.5733314569036105,-0.31272681512538036,-77377.99586647286
B1_technical_plus_macro,pooled,3,247430,0.43393933569869947,0.3025542577698743,0.5891599519075748,-0.29828655598955456,-73805.04254849549
B1_technical_plus_macro,pooled,4,247429,0.4576637907644439,0.3091796030376391,0.5813191301921752,-0.30038261068324484,-74323.36897874459
B1_technical_plus_macro,pooled,5,247430,0.4820365374938791,0.3164854706381603,0.5746809247902813,-0.30040020408813045,-74328.02249752612
B1_technical_plus_macro,pooled,6,247430,0.507157145418115,0.3246453542416037,0.569902536996756,-0.2979594002256463,-73724.09439783166
B1_technical_plus_macro,pooled,7,247429,0.5353725153796601,0.34794223797533835,0.5906425839956995,-0.2739496255885535,-67783.08190975021
B1_technical_plus_macro,pooled,8,247430,0.5709480108304874,0.38872812512629834,0.6316958478123956,-0.2305998693397481,-57057.32567073387
B1_technical_plus_macro,pooled,9,247430,0.6210707722721289,0.45088307804227457,0.6696415997666368,-0.1847952960424241,-45723.90009977699
B1_technical_plus_macro,pooled,10,247429,0.6873766185657461,0.5195146890623169,0.7151142379520973,-0.13781137782552003,-34098.53140399059
