report_date,availability_time_utc,COT_MM_NET_PCT_OI,COT_MM_NET_CHG_1W,COT_PROD_NET_PCT_OI,COT_SWAP_NET_PCT_OI,COT_MM_VS_PROD_SPREAD
2016-08-02,2016-08-06 04:00:00+00:00,0.43752007433731072,0.0082119582569741278,-0.25226936626068558,-0.30427628471464813,0.6897894405979963
2016-08-09,2016-08-13 04:00:00+00:00,0.42622945121559125,-0.011290623121719467,-0.23776197038924293,-0.30610585002754609,0.66399142160483415
2016-08-16,2016-08-20 04:00:00+00:00,0.42398025488387692,-0.0022491963317143315,-0.24315977753556356,-0.30006323188284284,0.66714003241944053
2016-08-23,2016-08-27 04:00:00+00:00,0.44275035647403976,0.018770101590162847,-0.24396612056763584,-0.31011757971143494,0.6867164770416756
2016-08-30,2016-09-03 04:00:00+00:00,0.41474718748992656,-0.028003168984113203,-0.24309184488483124,-0.2963316487523236,0.65783903237475783
2016-09-06,2016-09-10 04:00:00+00:00,0.45633160418246832,0.041584416692541759,-0.26039352855130565,-0.29826159388882867,0.71672513273377403
2016-09-13,2016-09-17 04:00:00+00:00,0.42256722585312745,-0.033764378329340872,-0.25884083881447367,-0.28267206027109471,0.68140806466760107
2016-09-20,2016-09-24 04:00:00+00:00,0.38144315137502216,-0.041124074478105288,-0.24700290448486106,-0.27307526427590995,0.62844605585988322
2016-09-27,2016-10-01 04:00:00+00:00,0.43757555803628845,0.056132406661266288,-0.25607336567431638,-0.28339000721927565,0.69364892371060483
2016-10-04,2016-10-08 04:00:00+00:00,0.36730393668414019,-0.070271621352148261,-0.23433989692084048,-0.26351262058940134,0.60164383360498064
2016-10-11,2016-10-15 04:00:00+00:00,0.2973909115620153,-0.069913025122124883,-0.22899577876912744,-0.213112198397851,0.52638669033114271
2016-10-18,2016-10-22 04:00:00+00:00,0.26345659788235248,-0.03393431367966282,-0.21383290984406342,-0.19390577816404828,0.47728950772641587
2016-10-25,2016-10-29 04:00:00+00:00,0.28350114357872175,0.020044545696369265,-0.21972274372213696,-0.20894493289231841,0.50322388730085876
2016-11-01,2016-11-05 04:00:00+00:00,0.31882087646163226,0.035319732882910515,-0.24146797927540622,-0.21730143085602083,0.56028885573703846
2016-11-08,2016-11-12 05:00:00+00:00,0.32873156721942132,0.0099106907577890535,-0.24706031582554436,-0.21788592643358709,0.57579188304496565
2016-11-15,2016-11-19 05:00:00+00:00,0.28103005402337466,-0.047701513196046652,-0.22306082376778086,-0.19419827767889375,0.50409087779115547
2016-11-22,2016-11-26 05:00:00+00:00,0.26978801115685092,-0.011242042866523749,-0.21297569524272222,-0.20382725099878107,0.48276370639957311
2016-11-29,2016-12-03 05:00:00+00:00,0.26362159537150476,-0.0061664157853461576,-0.22330961073408584,-0.19039296358289309,0.4869312061055906
2016-12-06,2016-12-10 05:00:00+00:00,0.20918165092853294,-0.054439944442971816,-0.21200231752065948,-0.18173224504731605,0.42118396844919243
2016-12-13,2016-12-17 05:00:00+00:00,0.17307837615922061,-0.036103274769312327,-0.20444848552013178,-0.17306578277930856,0.3775268616793524
2016-12-20,2016-12-24 05:00:00+00:00,0.13496429297071949,-0.038114083188501124,-0.19902624033953659,-0.13715412342817582,0.33399053331025608
2016-12-27,2016-12-31 05:00:00+00:00,0.10800646554407951,-0.026957827426639977,-0.18541616336208291,-0.11586175291958169,0.29342262890616244
2017-01-03,2017-01-07 05:00:00+00:00,0.086082703633148322,-0.021923761910931192,-0.17243620385567249,-0.10451100022841103,0.25851890748882078
2017-01-10,2017-01-14 05:00:00+00:00,0.12540287071425515,0.039320167081106833,-0.16232621097700231,-0.12104252017450411,0.28772908169125744
2017-01-17,2017-01-21 05:00:00+00:00,0.12530532956359511,-9.7541150660046538e-05,-0.16155807298845784,-0.10153503569925011,0.28686340255205295
2017-01-24,2017-01-28 05:00:00+00:00,0.12387483570839225,-0.0014304938552028579,-0.17696849332675477,-0.085014946908415462,0.30084332903514699
2017-01-31,2017-02-04 05:00:00+00:00,0.17527915609399825,0.051404320385605995,-0.2254381539681703,-0.10536526843911022,0.40071731006216854
