start_utc,end_utc,exact_rows
2017-01-16T00:05:00+00:00,2017-01-16T00:05:00+00:00,1
2017-01-16T00:15:00+00:00,2017-01-16T00:15:00+00:00,1
2017-01-16T01:00:00+00:00,2017-01-16T01:00:00+00:00,1
2017-01-23T00:00:00+00:00,2017-01-23T00:01:00+00:00,2
2017-01-23T00:05:00+00:00,2017-01-23T00:05:00+00:00,1
2017-01-23T00:15:00+00:00,2017-01-23T00:15:00+00:00,1
2017-01-23T01:00:00+00:00,2017-01-23T01:00:00+00:00,1
2017-01-30T00:00:00+00:00,2017-01-30T00:01:00+00:00,2
2017-01-30T00:05:00+00:00,2017-01-30T00:05:00+00:00,1
2017-01-30T00:15:00+00:00,2017-01-30T00:15:00+00:00,1
2017-01-30T01:00:00+00:00,2017-01-30T01:00:00+00:00,1
2017-02-06T00:00:00+00:00,2017-02-06T00:01:00+00:00,2
2017-02-06T00:05:00+00:00,2017-02-06T00:05:00+00:00,1
2017-02-06T00:15:00+00:00,2017-02-06T00:15:00+00:00,1
2017-02-06T01:00:00+00:00,2017-02-06T01:00:00+00:00,1
2017-02-13T00:00:00+00:00,2017-02-13T00:01:00+00:00,2
2017-02-13T00:05:00+00:00,2017-02-13T00:05:00+00:00,1
2017-02-13T00:15:00+00:00,2017-02-13T00:15:00+00:00,1
2017-02-13T01:00:00+00:00,2017-02-13T01:00:00+00:00,1
2017-02-20T00:00:00+00:00,2017-02-20T00:01:00+00:00,2
2017-02-20T00:05:00+00:00,2017-02-20T00:05:00+00:00,1
2017-02-20T00:15:00+00:00,2017-02-20T00:15:00+00:00,1
2017-02-20T01:00:00+00:00,2017-02-20T01:00:00+00:00,1
2017-02-27T00:00:00+00:00,2017-02-27T00:01:00+00:00,2
2017-02-27T00:05:00+00:00,2017-02-27T00:05:00+00:00,1
2017-02-27T00:15:00+00:00,2017-02-27T00:15:00+00:00,1
2017-02-27T01:00:00+00:00,2017-02-27T01:00:00+00:00,1
2017-03-06T00:00:00+00:00,2017-03-06T00:01:00+00:00,2
2017-03-06T00:05:00+00:00,2017-03-06T00:05:00+00:00,1
2017-03-06T00:15:00+00:00,2017-03-06T00:15:00+00:00,1
2017-03-06T01:00:00+00:00,2017-03-06T01:00:00+00:00,1
2017-03-13T00:00:00+00:00,2017-03-13T00:01:00+00:00,2
2017-03-13T00:05:00+00:00,2017-03-13T00:05:00+00:00,1
2017-03-13T00:15:00+00:00,2017-03-13T00:15:00+00:00,1
2017-03-13T01:00:00+00:00,2017-03-13T01:00:00+00:00,1
2017-03-20T00:00:00+00:00,2017-03-20T00:01:00+00:00,2
2017-03-20T00:05:00+00:00,2017-03-20T00:05:00+00:00,1
2017-03-20T00:15:00+00:00,2017-03-20T00:15:00+00:00,1
2017-03-20T01:00:00+00:00,2017-03-20T01:00:00+00:00,1
2017-03-27T00:00:00+00:00,2017-03-27T00:01:00+00:00,2
2017-03-27T00:05:00+00:00,2017-03-27T00:05:00+00:00,1
2017-03-27T00:15:00+00:00,2017-03-27T00:15:00+00:00,1
2017-03-27T01:00:00+00:00,2017-03-27T01:00:00+00:00,1
2017-04-03T00:00:00+00:00,2017-04-03T00:01:00+00:00,2
2017-04-03T00:05:00+00:00,2017-04-03T00:05:00+00:00,1
2017-04-03T00:15:00+00:00,2017-04-03T00:15:00+00:00,1
2017-04-03T01:00:00+00:00,2017-04-03T01:00:00+00:00,1
2017-04-10T00:00:00+00:00,2017-04-10T00:01:00+00:00,2
2017-04-10T00:05:00+00:00,2017-04-10T00:05:00+00:00,1
2017-04-10T00:15:00+00:00,2017-04-10T00:15:00+00:00,1
2017-04-10T01:00:00+00:00,2017-04-10T01:00:00+00:00,1
2017-04-17T00:00:00+00:00,2017-04-17T00:01:00+00:00,2
2017-04-17T00:05:00+00:00,2017-04-17T00:05:00+00:00,1
2017-04-17T00:15:00+00:00,2017-04-17T00:15:00+00:00,1
2017-04-17T01:00:00+00:00,2017-04-17T01:00:00+00:00,1
2017-04-24T00:00:00+00:00,2017-04-24T00:01:00+00:00,2
2017-04-24T00:05:00+00:00,2017-04-24T00:05:00+00:00,1
2017-04-24T00:15:00+00:00,2017-04-24T00:15:00+00:00,1
2017-04-24T01:00:00+00:00,2017-04-24T01:00:00+00:00,1
2017-05-01T00:00:00+00:00,2017-05-01T00:01:00+00:00,2
2017-05-01T00:05:00+00:00,2017-05-01T00:05:00+00:00,1
2017-05-01T00:15:00+00:00,2017-05-01T00:15:00+00:00,1
2017-05-01T01:00:00+00:00,2017-05-01T01:00:00+00:00,1
2017-05-08T00:00:00+00:00,2017-05-08T00:01:00+00:00,2
2017-05-08T00:05:00+00:00,2017-05-08T00:05:00+00:00,1
2017-05-08T00:15:00+00:00,2017-05-08T00:15:00+00:00,1
2017-05-08T01:00:00+00:00,2017-05-08T01:00:00+00:00,1
2017-05-15T00:00:00+00:00,2017-05-15T00:01:00+00:00,2
2017-05-15T00:05:00+00:00,2017-05-15T00:05:00+00:00,1
2017-05-15T00:15:00+00:00,2017-05-15T00:15:00+00:00,1
2017-05-15T01:00:00+00:00,2017-05-15T01:00:00+00:00,1
2017-05-22T00:00:00+00:00,2017-05-22T00:01:00+00:00,2
2017-05-22T00:05:00+00:00,2017-05-22T00:05:00+00:00,1
2017-05-22T00:15:00+00:00,2017-05-22T00:15:00+00:00,1
2017-05-22T01:00:00+00:00,2017-05-22T01:00:00+00:00,1
2017-05-29T00:00:00+00:00,2017-05-29T00:01:00+00:00,2
2017-05-29T00:05:00+00:00,2017-05-29T00:05:00+00:00,1
2017-05-29T00:15:00+00:00,2017-05-29T00:15:00+00:00,1
2017-05-29T01:00:00+00:00,2017-05-29T01:00:00+00:00,1
2017-05-29T03:46:00+00:00,2017-05-29T03:47:00+00:00,2
2017-05-29T03:51:00+00:00,2017-05-29T03:51:00+00:00,1
2017-05-29T04:01:00+00:00,2017-05-29T04:01:00+00:00,1
2017-05-29T04:46:00+00:00,2017-05-29T04:46:00+00:00,1
2017-06-05T00:00:00+00:00,2017-06-05T00:01:00+00:00,2
2017-06-05T00:05:00+00:00,2017-06-05T00:05:00+00:00,1
2017-06-05T00:15:00+00:00,2017-06-05T00:15:00+00:00,1
2017-06-05T01:00:00+00:00,2017-06-05T01:00:00+00:00,1
2017-06-12T00:00:00+00:00,2017-06-12T00:01:00+00:00,2
2017-06-12T00:05:00+00:00,2017-06-12T00:05:00+00:00,1
2017-06-12T00:15:00+00:00,2017-06-12T00:15:00+00:00,1
2017-06-12T01:00:00+00:00,2017-06-12T01:00:00+00:00,1
2017-06-19T00:00:00+00:00,2017-06-19T00:01:00+00:00,2
2017-06-19T00:05:00+00:00,2017-06-19T00:05:00+00:00,1
2017-06-19T00:15:00+00:00,2017-06-19T00:15:00+00:00,1
2017-06-19T01:00:00+00:00,2017-06-19T01:00:00+00:00,1
2017-06-26T00:00:00+00:00,2017-06-26T00:01:00+00:00,2
