report_date,contract_code,contract_name,source_year,open_interest,producer_long,producer_short,swap_long,swap_short,managed_money_long,managed_money_short,COT_MM_NET_PCT_OI,COT_MM_NET_CHG_1W,COT_PROD_NET_PCT_OI,COT_SWAP_NET_PCT_OI,COT_MM_VS_PROD_SPREAD,availability_time_utc
2018-01-02,088691,GOLD - COMMODITY EXCHANGE INC.,2018,500731,22495,180714,108799,128180,168423,20249,0.29591537172653581,0.05984728400992792,-0.3159760430250973,-0.038705412686652112,0.61189141475163311,2018-01-06 05:00:00+00:00
2018-01-09,088691,GOLD - COMMODITY EXCHANGE INC.,2018,555455,21117,198371,105725,148742,216115,20065,0.35295388465312222,0.057038512926586404,-0.3191149598077252,-0.077444617475763117,0.67206884446084736,2018-01-13 05:00:00+00:00
2018-01-16,088691,GOLD - COMMODITY EXCHANGE INC.,2018,582333,22861,212879,108318,150807,227373,25841,0.34607690101711563,-0.0068769836360065839,-0.32630470881780699,-0.072963407534864078,0.67238160983492268,2018-01-20 05:00:00+00:00
2018-01-23,088691,GOLD - COMMODITY EXCHANGE INC.,2018,582421,23933,217184,109160,150461,236003,26467,0.35976724740351052,0.01369034638639488,-0.33180637373995786,-0.070912621625937255,0.69157362114346843,2018-01-27 05:00:00+00:00
2018-01-30,088691,GOLD - COMMODITY EXCHANGE INC.,2018,559332,22684,209619,106587,144728,230597,23035,0.37108908483691261,0.011321837433402093,-0.33421116617679658,-0.068190269821858926,0.70530025101370919,2018-02-03 05:00:00+00:00
2018-02-06,088691,GOLD - COMMODITY EXCHANGE INC.,2018,535321,26595,202225,104742,134563,206377,23448,0.34171833348588976,-0.02937075135102285,-0.32808352371754518,-0.055706762858172949,0.66980185720343499,2018-02-10 05:00:00+00:00
2018-02-13,088691,GOLD - COMMODITY EXCHANGE INC.,2018,511745,22749,194149,98254,121390,186183,16426,0.33172185365758339,-0.0099964798283063705,-0.3349324370536107,-0.045210016707539886,0.66665429071119409,2018-02-17 05:00:00+00:00
2018-02-20,088691,GOLD - COMMODITY EXCHANGE INC.,2018,528154,30967,207285,96427,134987,190398,14943,0.33220424345929406,0.00048238980171066981,-0.33383823657493839,-0.073009008736088343,0.66604248003423239,2018-02-24 05:00:00+00:00
2018-02-27,088691,GOLD - COMMODITY EXCHANGE INC.,2018,532860,30993,206218,106048,130619,177475,27456,0.28153548774537401,-0.050668755713920044,-0.32883871936343506,-0.046111548999737267,0.61037420710880907,2018-03-03 05:00:00+00:00
2018-03-06,088691,GOLD - COMMODITY EXCHANGE INC.,2018,508100,25642,199419,106499,137625,172492,21786,0.29660696713245427,0.015071479387080255,-0.34201338319228497,-0.061259594567998427,0.63862035032473918,2018-03-10 05:00:00+00:00
2018-03-13,088691,GOLD - COMMODITY EXCHANGE INC.,2018,526762,25466,195189,107910,126997,162337,26472,0.25792483132800015,-0.038682135804454121,-0.32220053838355844,-0.036234580322802329,0.58012536971155859,2018-03-17 04:00:00+00:00
2018-03-20,088691,GOLD - COMMODITY EXCHANGE INC.,2018,545499,25478,182047,109340,120041,148152,36345,0.20496279553216412,-0.052962035795836027,-0.28701977455504041,-0.019616901222550363,0.49198257008720453,2018-03-24 04:00:00+00:00
2018-03-27,088691,GOLD - COMMODITY EXCHANGE INC.,2018,529690,25165,204181,106631,153975,183080,20917,0.30614699163661763,0.10118419610445351,-0.3379637146255357,-0.089380581094602507,0.64411070626215339,2018-03-31 04:00:00+00:00
2018-04-03,088691,GOLD - COMMODITY EXCHANGE INC.,2018,493141,30267,197029,113668,135771,155590,28948,0.25680687673505143,-0.049340114901566201,-0.33816291892176881,-0.044820852453963472,0.59496979565682029,2018-04-07 04:00:00+00:00
2018-04-10,088691,GOLD - COMMODITY EXCHANGE INC.,2018,499588,32193,197288,116790,127347,154044,28482,0.2513310968237828,-0.0054757799112686301,-0.33046230093597123,-0.021131412283721788,0.58179339775975403,2018-04-14 04:00:00+00:00
2018-04-17,088691,GOLD - COMMODITY EXCHANGE INC.,2018,510229,33041,206888,122287,133702,157925,25287,0.25995778366184596,0.0086266868380631689,-0.34072347906528244,-0.022372307336509686,0.60068126272712841,2018-04-21 04:00:00+00:00
2018-04-24,088691,GOLD - COMMODITY EXCHANGE INC.,2018,506410,32696,196159,123783,122120,143258,43597,0.19679903635394247,-0.063158747307903496,-0.32278785963942258,0.0032839003969115932,0.51958689599336505,2018-04-28 04:00:00+00:00
2018-05-01,088691,GOLD - COMMODITY EXCHANGE INC.,2018,507756,33204,181259,124348,108165,119064,79747,0.077432861453138907,-0.11936617490080356,-0.29158690394598979,0.031871607622558869,0.36901976539912873,2018-05-05 04:00:00+00:00
