cohort,simulator,entry_index,exit_index,entry_time_api,exit_time_api,entry_time_actual_utc,exit_time_actual_utc,raw_episode_id,entry_price,exit_price,tp_distance,sl_distance,exit_reason,same_bar_both_hit,gross_price,spread_points,spread_observed,extra_cost_points,gross_r,net_r,stress_r,risk_mult,risk_guard_reasons,risk_budget,account_pnl,balance_before,balance_after,positive,trade_id,episode_trade_ordinal,model_id,fold
PAIRED_C0_legacy_label,S5,1646937,1646948,2022-08-31T02:50:00,2022-08-31T03:01:00,2022-08-31T02:50:00,2022-08-31T03:01:00,2687,1723.36,1722.76,1.5,0.6,stop_loss,False,-0.599999999999909,12.0,True,5.0,-0.833333333333207,-1.0694444444443183,-1.1388888888887625,0.5,live_rolling_pf,0.8540168227176727,-0.9133235465174033,122.0024032453818,121.0890796988644,False,C0_legacy_label_S5_000745,0,C0_legacy_label,2021_2022
PAIRED_C0_legacy_label,S5,1649559,1649578,2022-09-01T23:33:00,2022-09-01T23:52:00,2022-09-01T23:33:00,2022-09-01T23:52:00,2689,1695.38,1696.88,1.5,0.6,take_profit,False,1.5,12.0,True,5.0,2.0833333333333335,1.8472222222222223,1.777777777777778,0.5,live_rolling_pf,0.8476235578920508,1.5657490722172607,121.0890796988644,122.65482877108165,True,C0_legacy_label_S5_000746,0,C0_legacy_label,2021_2022
PAIRED_C0_legacy_label,S5,1649645,1649690,2022-09-02T02:00:00,2022-09-02T02:45:00,2022-09-02T02:00:00,2022-09-02T02:45:00,2690,1695.56,1697.06,1.5,0.6,take_profit,False,1.5,12.0,True,5.0,2.0833333333333335,1.8472222222222223,1.777777777777778,0.5,live_rolling_pf,0.8585838013975716,1.5859950775816254,122.65482877108165,124.24082384866328,True,C0_legacy_label_S5_000747,0,C0_legacy_label,2021_2022
PAIRED_C0_legacy_label,S5,1652008,1652080,2022-09-05T18:25:00,2022-09-05T19:37:00,2022-09-05T18:25:00,2022-09-05T19:37:00,2691,1710.3,1711.8,1.5,0.6,take_profit,False,1.5,12.0,True,5.0,2.0833333333333335,1.8472222222222223,1.777777777777778,0.5,live_rolling_pf,0.869685766940643,1.6065028750431323,124.24082384866328,125.84732672370642,True,C0_legacy_label_S5_000748,0,C0_legacy_label,2021_2022
PAIRED_C0_legacy_label,S5,1652088,1652159,2022-09-05T19:45:00,2022-09-05T20:56:00,2022-09-05T19:45:00,2022-09-05T20:56:00,2697,1711.59,1710.99,1.5,0.6,stop_loss,False,-0.599999999999909,12.0,True,5.0,-0.833333333333207,-1.0694444444443183,-1.1388888888887625,0.5,live_rolling_pf,0.8809312870659449,-0.9421070708898578,125.84732672370642,124.90521965281656,False,C0_legacy_label_S5_000749,0,C0_legacy_label,2021_2022
PAIRED_C0_legacy_label,S5,1652189,1652196,2022-09-06T01:00:00,2022-09-06T01:07:00,2022-09-06T01:00:00,2022-09-06T01:07:00,2699,1709.45,1710.95,1.5,0.6,take_profit,False,1.5,12.0,True,5.0,2.0833333333333335,1.8472222222222223,1.777777777777778,0.5,live_rolling_pf,0.8743365375697159,1.6150938818996141,124.90521965281656,126.52031353471617,True,C0_legacy_label_S5_000750,0,C0_legacy_label,2021_2022
PAIRED_C0_legacy_label,S5,1667407,1667446,2022-09-21T01:51:00,2022-09-21T02:30:00,2022-09-21T01:51:00,2022-09-21T02:30:00,2700,1664.46,1665.96,1.5,0.6,take_profit,False,1.5,20.0,True,5.0,1.875,1.5625,1.4999999999999998,0.5,live_rolling_pf,0.8856421947430132,1.3838159292859582,126.52031353471617,127.90412946400212,True,C0_legacy_label_S5_000751,0,C0_legacy_label,2021_2022
PAIRED_C0_legacy_label,S5,1714205,1714235,2022-11-07T23:29:00,2022-11-08T01:00:00,2022-11-07T23:29:00,2022-11-08T01:00:00,2701,1674.55,1675.03,1.5,0.6,timeout,False,0.4800000000000182,12.0,True,5.0,0.6666666666666919,0.4305555555555808,0.3611111111111364,0.5,live_rolling_pf,0.8953289062480149,0.38548883463458455,127.90412946400212,128.2896182986367,True,C0_legacy_label_S5_000752,0,C0_legacy_label,2021_2022
PAIRED_C0_legacy_label,S5,1715221,1715223,2022-11-08T17:26:00,2022-11-08T17:28:00,2022-11-08T17:26:00,2022-11-08T17:28:00,2703,1704.88,1708.4206428571429,3.540642857142804,4.35771428571422,take_profit,False,3.540642857142757,12.0,True,5.0,0.7907254977028988,0.7527596988259203,0.7415932873915148,0.5,live_rolling_pf,0.8980273280904569,0.6759987810308183,128.2896182986367,128.9656170796675,True,C0_legacy_label_S5_000753,0,C0_legacy_label,2021_2022
PAIRED_C0_legacy_label,S5,1715230,1715242,2022-11-08T17:35:00,2022-11-08T17:47:00,2022-11-08T17:35:00,2022-11-08T17:47:00,2704,1708.42,1711.6532857142859,3.233285714285687,3.9794285714285382,take_profit,False,3.2332857142857847,12.0,True,5.0,0.7887161973794493,0.7472470030666528,0.7350501812099479,0.5,live_rolling_pf,0.9027593195576726,0.6745841960299616,128.9656170796675,129.64020127569748,True,C0_legacy_label_S5_000754,0,C0_legacy_label,2021_2022
