match_type,c0_trade_id,c1_trade_id,c0_entry_time,c1_entry_time,entry_delta_minutes,c0_net_r,c1_net_r,outcome_sign_changed
C0_only_unmatched,C0_legacy_label_S5_000037,,2018-05-18T04:47:00,,,1.277777777777778,,
C0_only_unmatched,C0_legacy_label_S5_000038,,2018-05-21T04:06:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000039,,2018-05-21T04:27:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000040,,2018-05-23T01:01:00,,,1.277777777777778,,
C0_only_unmatched,C0_legacy_label_S5_000041,,2018-05-23T02:11:00,,,1.277777777777778,,
C0_only_unmatched,C0_legacy_label_S5_000042,,2018-05-23T03:46:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000043,,2018-05-24T01:18:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000044,,2018-05-24T02:22:00,,,1.277777777777778,,
C0_only_unmatched,C0_legacy_label_S5_000045,,2018-05-24T03:44:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000046,,2018-05-25T01:03:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000047,,2018-05-25T02:40:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000048,,2018-05-25T03:39:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000049,,2018-05-25T04:54:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000050,,2018-05-25T08:01:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000051,,2018-05-25T09:16:00,,,1.277777777777778,,
C0_only_unmatched,C0_legacy_label_S5_000052,,2018-05-28T01:05:00,,,-1.0466666666666133,,
C0_only_unmatched,C0_legacy_label_S5_000053,,2018-05-28T01:22:00,,,0.7037256061502225,,
C0_only_unmatched,C0_legacy_label_S5_000054,,2018-05-28T03:01:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000055,,2018-05-28T03:25:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000056,,2018-05-28T04:25:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000057,,2018-05-28T04:47:00,,,0.17777777777776765,,
C0_only_unmatched,C0_legacy_label_S5_000058,,2018-05-29T03:01:00,,,1.277777777777778,,
C0_only_unmatched,C0_legacy_label_S5_000059,,2018-05-29T03:25:00,,,1.277777777777778,,
C0_only_unmatched,C0_legacy_label_S5_000060,,2018-05-30T04:57:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000061,,2018-05-31T01:02:00,,,0.35555555555538376,,
C0_only_unmatched,C0_legacy_label_S5_000062,,2018-05-31T02:42:00,,,1.277777777777778,,
C0_only_unmatched,C0_legacy_label_S5_000063,,2018-05-31T03:16:00,,,1.277777777777778,,
C0_only_unmatched,C0_legacy_label_S5_000064,,2018-06-04T03:04:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000065,,2018-06-04T03:20:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000066,,2018-06-04T03:46:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000067,,2018-06-04T04:11:00,,,-0.488888888888798,,
C0_only_unmatched,C0_legacy_label_S5_000068,,2018-06-05T02:34:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000069,,2018-06-05T03:01:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000070,,2018-06-05T04:08:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000071,,2018-06-05T04:33:00,,,0.1333333333333636,,
C0_only_unmatched,C0_legacy_label_S5_000072,,2018-06-06T01:01:00,,,0.044444444444302934,,
C0_only_unmatched,C0_legacy_label_S5_000073,,2018-06-06T02:45:00,,,0.03333333333320193,,
C0_only_unmatched,C0_legacy_label_S5_000074,,2018-06-06T04:25:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000075,,2018-06-07T03:29:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000076,,2018-06-07T04:12:00,,,0.3111111111109797,,
C0_only_unmatched,C0_legacy_label_S5_000077,,2018-06-08T01:01:00,,,0.28888888888903036,,
C0_only_unmatched,C0_legacy_label_S5_000078,,2018-06-08T02:31:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000079,,2018-06-08T03:01:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000080,,2018-06-08T04:12:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000081,,2018-06-08T04:30:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000082,,2018-06-08T08:01:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000083,,2018-06-11T01:47:00,,,0.055555555555656576,,
C0_only_unmatched,C0_legacy_label_S5_000084,,2018-06-11T03:54:00,,,1.277777777777778,,
C0_only_unmatched,C0_legacy_label_S5_000085,,2018-06-12T01:02:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000086,,2018-06-12T01:43:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000087,,2018-06-12T02:34:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000088,,2018-06-12T03:10:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000089,,2018-06-12T03:43:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000090,,2018-06-12T04:28:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000091,,2018-06-12T04:44:00,,,1.277777777777778,,
C0_only_unmatched,C0_legacy_label_S5_000092,,2018-06-13T02:29:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000093,,2018-06-13T03:28:00,,,0.04444444444455557,,
C0_only_unmatched,C0_legacy_label_S5_000094,,2018-06-13T04:58:00,,,-0.6222222222222628,,
C0_only_unmatched,C0_legacy_label_S5_000095,,2018-06-13T08:55:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000096,,2018-06-14T03:59:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000097,,2018-06-15T02:04:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000098,,2018-06-15T03:01:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000099,,2018-06-15T03:52:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000100,,2018-06-15T04:10:00,,,1.277777777777778,,
C0_only_unmatched,C0_legacy_label_S5_000101,,2018-06-15T08:14:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000102,,2018-06-15T09:24:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000103,,2018-06-20T02:18:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000104,,2018-06-20T03:22:00,,,1.277777777777778,,
C0_only_unmatched,C0_legacy_label_S5_000105,,2018-06-20T04:17:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000106,,2018-06-22T01:19:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000107,,2018-06-22T02:35:00,,,1.277777777777778,,
C0_only_unmatched,C0_legacy_label_S5_000108,,2018-06-25T02:36:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000109,,2018-06-26T03:01:00,,,0.29999999999987875,,
C0_only_unmatched,C0_legacy_label_S5_000110,,2018-06-27T02:15:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000111,,2018-06-27T02:50:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000112,,2018-06-27T03:12:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000113,,2018-06-27T04:49:00,,,-1.0418860698899752,,
C0_only_unmatched,C0_legacy_label_S5_000114,,2018-07-03T04:18:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000115,,2018-07-03T04:48:00,,,-1.0531268973891104,,
C0_only_unmatched,C0_legacy_label_S5_000116,,2018-07-04T01:01:00,,,1.277777777777778,,
C0_only_unmatched,C0_legacy_label_S5_000117,,2018-07-04T01:30:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000118,,2018-07-04T02:27:00,,,1.277777777777778,,
C0_only_unmatched,C0_legacy_label_S5_000119,,2018-07-04T03:40:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000120,,2018-07-05T01:17:00,,,0.7999999999999292,,
C0_only_unmatched,C0_legacy_label_S5_000121,,2018-07-05T02:55:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000122,,2018-07-05T03:21:00,,,1.277777777777778,,
C0_only_unmatched,C0_legacy_label_S5_000123,,2018-07-05T04:41:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000124,,2018-07-06T01:16:00,,,1.277777777777778,,
C0_only_unmatched,C0_legacy_label_S5_000125,,2018-07-06T02:23:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000126,,2018-07-06T03:00:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000127,,2018-07-06T04:09:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000128,,2018-07-09T03:01:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000129,,2018-07-09T03:24:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000130,,2018-07-09T03:55:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000131,,2018-07-10T01:01:00,,,0.1111111111111616,,
C0_only_unmatched,C0_legacy_label_S5_000132,,2018-07-10T02:32:00,,,0.21111111111107067,,
C0_only_unmatched,C0_legacy_label_S5_000133,,2018-07-10T04:02:00,,,1.277777777777778,,
C0_only_unmatched,C0_legacy_label_S5_000134,,2018-07-10T04:40:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000135,,2018-07-11T01:02:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000136,,2018-07-11T01:53:00,,,1.277777777777778,,
C0_only_unmatched,C0_legacy_label_S5_000137,,2018-07-11T03:15:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000138,,2018-07-11T04:02:00,,,-1.0474254742548057,,
C0_only_unmatched,C0_legacy_label_S5_000139,,2018-07-11T04:19:00,,,0.9295612009238421,,
C0_only_unmatched,C0_legacy_label_S5_000140,,2018-07-12T02:46:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000141,,2018-07-13T01:01:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000142,,2018-07-13T02:29:00,,,-1.0109197429781288e-13,,
C0_only_unmatched,C0_legacy_label_S5_000143,,2018-07-16T02:41:00,,,1.277777777777778,,
C0_only_unmatched,C0_legacy_label_S5_000144,,2018-07-17T02:07:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000145,,2018-07-17T03:50:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000146,,2018-07-17T04:21:00,,,1.277777777777778,,
C0_only_unmatched,C0_legacy_label_S5_000147,,2018-07-17T04:48:00,,,1.277777777777778,,
C0_only_unmatched,C0_legacy_label_S5_000148,,2018-07-18T02:21:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000149,,2018-07-18T03:07:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000150,,2018-07-18T03:37:00,,,1.277777777777778,,
C0_only_unmatched,C0_legacy_label_S5_000151,,2018-07-18T04:29:00,,,-0.2666666666667779,,
C0_only_unmatched,C0_legacy_label_S5_000152,,2018-07-19T01:28:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000153,,2018-07-19T02:25:00,,,1.277777777777778,,
C0_only_unmatched,C0_legacy_label_S5_000154,,2018-07-20T01:18:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000155,,2018-07-20T02:29:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000156,,2018-07-24T03:08:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000157,,2018-07-24T03:43:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000158,,2018-07-24T04:33:00,,,-1.0496876774560913,,
C0_only_unmatched,C0_legacy_label_S5_000159,,2018-07-25T01:49:00,,,0.2333333333332727,,
C0_only_unmatched,C0_legacy_label_S5_000160,,2018-07-26T01:02:00,,,1.277777777777778,,
C0_only_unmatched,C0_legacy_label_S5_000161,,2018-07-26T01:40:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000162,,2018-07-26T02:14:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000163,,2018-07-26T02:39:00,,,-1.0555555555554548,,
