model_id,fold,decile,observations,mean_probability,positive_rate,mean_r,pf
C0_legacy_label,2023_2024,3,70802,0.3825823039600214,0.37740459309059066,-0.2141597200610726,0.6699131259359371
C0_legacy_label,2023_2024,4,70802,0.41734206281908187,0.37296969012174797,-0.20035494450246938,0.694102054408394
C0_legacy_label,2023_2024,5,70802,0.4461595309431925,0.3721646281178498,-0.20283089832354487,0.6906420408297794
C0_legacy_label,2023_2024,6,70802,0.4742799799394003,0.3805259738425468,-0.19943504974704498,0.692090410450596
C0_legacy_label,2023_2024,7,70802,0.5026287549625685,0.390299709047767,-0.194065262074236,0.6951952879313187
C0_legacy_label,2023_2024,8,70802,0.5311720272648898,0.38891556735685434,-0.1984578034512241,0.6900012626773206
C0_legacy_label,2023_2024,9,70802,0.5641320981395732,0.37847800909578827,-0.2165503992032934,0.6676739443310399
C0_legacy_label,2023_2024,10,70802,0.6258230633322949,0.3835626112256716,-0.18436655659495307,0.7094214863049177
C0_legacy_label,pooled,1,247430,0.20657611695617992,0.3565937841005537,-0.28980465483285595,0.5523353498401494
C0_legacy_label,pooled,2,247430,0.3096067202352347,0.3711837691468294,-0.2547996260227148,0.6071813496545987
C0_legacy_label,pooled,3,247430,0.36662806449853597,0.36712201430707675,-0.2584026640678523,0.6047018797825237
C0_legacy_label,pooled,4,247429,0.4076750205110447,0.36024071551839115,-0.2600554725720264,0.6084649933941673
C0_legacy_label,pooled,5,247430,0.4413283614720513,0.3610556521036253,-0.25210515994582305,0.6201797667311633
C0_legacy_label,pooled,6,247430,0.4729689412242655,0.3611849816109607,-0.25198901583344296,0.6206233063044715
C0_legacy_label,pooled,7,247429,0.5050857307822231,0.3569832153870403,-0.25632428538402047,0.6155198181982836
C0_legacy_label,pooled,8,247430,0.5402965865167761,0.3507537485349392,-0.2628769528516353,0.608622062882879
C0_legacy_label,pooled,9,247430,0.585229918341559,0.33834215737784423,-0.27982338761060704,0.5868991306508433
C0_legacy_label,pooled,10,247429,0.6755053612006158,0.31159241641036417,-0.3337734413054097,0.5092550818800459
C1_execution_aligned_label,2018_2020,1,105808,0.3349260715995185,0.2693652653863602,-0.40592850634280475,0.4156881228552418
C1_execution_aligned_label,2018_2020,2,105808,0.43327102961003755,0.29769960683502195,-0.3430771464864967,0.5200947152475567
C1_execution_aligned_label,2018_2020,3,105808,0.462770973979068,0.29116890972327236,-0.35922220538623983,0.5016461370272294
