url,path,acquisition_utc,status,http_status,bytes,sha256,final_url,error
https://www.bea.gov/news/2016/personal-income-and-outlays-january-2016,sources/dc581b7bc006b218950d530b.html,2026-09-05T17:17:00.073418+00:00,ok,200,50409,da554481a1e3626f628ad42d6c97e1bad5cf873b870c76f48e8353c8099e297a,https://www.bea.gov/news/2016/personal-income-and-outlays-january-2016,
https://www.bea.gov/news/2016/personal-income-and-outlays-july-2016,sources/c773e8d0957c48a40c26fb8c.html,2026-09-05T17:17:00.364579+00:00,ok,200,51781,a94e1bf64245f83670b42c0e3802d7a5c9e14ca0d16cfc21d7591442a7f7a038,https://www.bea.gov/news/2016/personal-income-and-outlays-july-2016,
https://www.bea.gov/news/2016/personal-income-and-outlays-june-2016,sources/8a1aee8bb5e630a50bf9c0bc.html,2026-09-05T17:17:00.684681+00:00,ok,200,55061,8d88cd66f1ef6f3469d3fdd05842ccb98e942a5cbd6ee03ab721da07310fee52,https://www.bea.gov/news/2016/personal-income-and-outlays-june-2016,
https://www.bea.gov/news/2016/personal-income-and-outlays-march-2016,sources/72839596535c85eb7cab4912.html,2026-09-05T17:17:01.778325+00:00,ok,200,49931,878b0817945d863a2863da611a70dd1fb8bf54de9cce5142b6c474c0302d533b,https://www.bea.gov/news/2016/personal-income-and-outlays-march-2016,
https://www.bea.gov/news/2016/personal-income-and-outlays-may-2016,sources/0782c883fab072349bb99c23.html,2026-09-05T17:17:01.801385+00:00,ok,200,49484,bdc0ef577269f4a29aef2dfd860e2148f7b6370ae83c577cca6a42df07d99ddd,https://www.bea.gov/news/2016/personal-income-and-outlays-may-2016,
https://www.bea.gov/news/2016/personal-income-and-outlays-november-2016,sources/8d67eebc9e924e22b0b22b04.html,2026-09-05T17:17:02.129873+00:00,ok,200,50849,bebc5c217cb5f9191e02511a2cebf43613b0641f95cd20497b65a928e9893e7b,https://www.bea.gov/news/2016/personal-income-and-outlays-november-2016,
https://www.bea.gov/news/2016/personal-income-and-outlays-october-2016,sources/2f36ae3bd6145061a5222e28.html,2026-09-05T17:17:02.401979+00:00,ok,200,50146,ecb0bae428fda20e1b5e4678082df4f02e233343248c7fffd112930ea226fa97,https://www.bea.gov/news/2016/personal-income-and-outlays-october-2016,
https://www.bea.gov/news/2016/personal-income-and-outlays-september-2016,sources/658e01ff280c2b153dfc6adb.html,2026-09-05T17:17:03.429930+00:00,ok,200,51482,91a26b0524f7000d88af725fde23be872a7cd71c5df81359984ca6be8ada5f39,https://www.bea.gov/news/2016/personal-income-and-outlays-september-2016,
https://www.bea.gov/news/2017/personal-consumption-expenditures-state-2016,sources/f033604b730f5d7b65f47dd3.html,2026-09-05T17:17:03.454593+00:00,ok,200,49858,df8c23c66656b2677ae529b8b90bf5e744c40a75b595fe9c6ef7dac24db12fa1,https://www.bea.gov/news/2017/personal-consumption-expenditures-state-2016,
https://www.bea.gov/news/2017/personal-income-and-outlays-april-2017,sources/b4023a31cbf3172f3d94226b.html,2026-09-05T17:17:03.773169+00:00,ok,200,50817,b366f713d4049981b1c819df44c3758ec91ddc1274d750a50702f992838b1433,https://www.bea.gov/news/2017/personal-income-and-outlays-april-2017,
